0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:11:48 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:11:48 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:11:48 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:11:48 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:11:54 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:13:03 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 12998
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:13:08 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:43:14 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13033
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:43:14 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:43:14 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:43:14 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:43:14 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:43:23 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
127.0.0.1 - - [21/Nov/2015:22:39:05 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:39:05 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13033
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:39:05 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:39:05 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:39:06 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:39:06 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:39:13 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:57:42 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
127.0.0.1 - - [21/Nov/2015:22:58:19 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:58:20 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13033
0:0:0:0:0:0:0:1 - - [21/Nov/2015:22:58:29 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1751
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:00:34 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13030
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:00:45 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:10:07 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13030
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:10:07 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:10:07 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:10:07 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:10:07 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:10:16 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:23:41:37 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
